Amount_Spent,Transaction_Type,Date
42.37,Coffee Shop,1/5/2024
955.54,Amazon,9/28/2023
881.27,Spa,4/23/2024
421.6,Florist,3/8/2024
498.7,Gas Station,12/10/2023
183.62,Bakery,9/18/2023
767.49,Subscription Box,10/26/2023
309.45,Childcare Service,12/20/2023
141.81,Streaming Service,12/16/2023
719.26,Software Purchase,4/9/2024
726.58,Fast Food,6/28/2024
187.98,Doctor's Visit,7/8/2024
22.4,Investment,12/12/2023
877.71,Bank Fee,3/26/2024
731.71,Rent,7/10/2024
296.27,Concert Ticket,12/24/2023
138.58,Restaurant,8/13/2023
703.36,Hotel,12/6/2023
951.08,Spotify,4/11/2024
750.81,Electronics Store,1/24/2024
844.36,Taxi,9/18/2023
936.68,Investment,9/5/2023
457.77,Grocery Store,5/20/2024
480.62,Clothing Store,1/8/2024
394.45,House Cleaning,12/9/2023
675.14,Maintenance Fee,6/18/2024
599.05,Utility Bill,1/18/2024
523.67,Pet Store,9/26/2023
148.52,Charity Donation,9/17/2023
862.88,Fast Food,11/9/2023
700.66,Gardening Service,6/19/2024
105.97,Furniture Store,3/27/2024
731.59,Lottery Ticket,12/17/2023
564.05,Consulting Fee,4/1/2024
354.51,Lottery Ticket,3/21/2024
724.86,Hotel,10/12/2023
301.9,Bakery,3/30/2024
916.08,Doctor's Visit,4/12/2024
986.94,Video Game Store,9/19/2023
251.81,Legal Service,2/6/2024
952.04,Vet Visit,4/3/2024
914.41,Taxi,11/28/2023
82.76,Grocery Store,10/20/2023
264.4,Gardening Service,2/9/2024
741.75,Accounting Service,4/30/2024
898.02,Rent,9/28/2023
435.67,Fitness Equipment,12/2/2023
102.42,Hardware Purchase,11/26/2023
603.34,Hardware Purchase,11/23/2023
402.81,Pet Store,5/7/2024
966.12,Taxi,7/3/2024
128.69,Grocery Store,9/6/2023
150.15,Gardening Service,1/24/2024
160.46,Vet Visit,4/27/2024
365.68,Consulting Fee,4/22/2024
573.02,Coffee Shop,1/31/2024
624.76,Uber,10/16/2023
245.1,Accounting Service,11/13/2023
821.85,Consulting Fee,12/6/2023
993.18,Clothing Store,3/1/2024
868.48,Clothing Store,8/1/2023
37.14,Accounting Service,8/2/2023
907.02,Public Transport,6/8/2024
74.35,Insurance Payment,11/6/2023
793.16,Furniture Store,4/23/2024
170.12,Streaming Service,9/17/2023
497.25,Book Store,11/25/2023
561.67,Doctor's Visit,5/24/2024
650.37,Taxi,11/9/2023
606.24,Hair Salon,7/31/2024
825.18,Movie Theater,3/1/2024
927.61,Bakery,6/8/2024
927.94,Netflix,11/7/2023
362.88,Book Store,8/6/2023
62.37,Hair Salon,5/6/2024
507.75,Spa,10/25/2023
170.01,Vet Visit,6/1/2024
817.25,Hardware Purchase,3/27/2024
529.55,Subscription Box,4/18/2024
97.31,Gas Station,9/5/2023
259.85,Pharmacy,5/28/2024
716.79,Lottery Ticket,12/5/2023
55.44,Pet Store,8/11/2023
174.44,Online Course,1/25/2024
624.85,Spotify,1/1/2024
930.6,Pharmacy,5/5/2024
611.67,Concert Ticket,11/26/2023
761.3,Business Service,7/19/2024
519.25,Insurance Payment,11/15/2023
589.8,Rent,8/8/2023
440.4,Business Service,2/12/2024
982.57,Pharmacy,4/28/2024
523.65,Bakery,4/29/2024
399.06,Rent,6/13/2024
442.76,Movie Theater,2/29/2024
487.17,House Cleaning,4/12/2024
88.37,Netflix,9/22/2023
843.9,Fitness Equipment,4/4/2024
201.44,Doctor's Visit,6/7/2024
673.83,Bakery,3/23/2024
26.97,Courier Service,1/23/2024
948.17,Broker Fee,8/1/2023
652.89,Spotify,1/16/2024
362.14,Childcare Service,5/28/2024
7,Book Store,3/14/2024
443.8,Property Tax,12/16/2023
57.21,Car Rental,10/27/2023
379.34,Uber,1/17/2024
660.13,Utility Bill,5/18/2024
406.26,Public Transport,4/8/2024
149.4,Book Store,12/26/2023
42.37,Florist,12/30/2023
130.36,Freelance Payment,10/29/2023
419.56,Movie Theater,11/24/2023
281.12,Accounting Service,6/8/2024
211.76,Butcher,11/2/2023
311.71,Broker Fee,11/30/2023
945.6,Pet Store,8/20/2023
491.34,Hotel,12/30/2023
322.85,Gardening Service,3/29/2024
802.96,Investment,4/16/2024
852.46,Coffee Shop,12/16/2023
930.33,Bakery,4/22/2024
213.76,Coffee Shop,9/29/2023
849.99,Software Purchase,7/7/2024
874.37,Utility Bill,2/1/2024
499.83,Utility Bill,4/10/2024
433.46,Pharmacy,8/11/2023
635.22,Airline Ticket,10/19/2023
99.78,Public Transport,8/28/2023
109.19,Dentist,7/27/2024
972.68,Netflix,6/14/2024
944.01,Investment,12/19/2023
568.63,Taxi,6/4/2024
383.1,Childcare Service,5/12/2024
515.75,Florist,5/2/2024
628.69,Coffee Shop,9/9/2023
331.63,Streaming Service,8/19/2023
699.48,Vet Visit,3/1/2024
714.37,Legal Service,12/2/2023
537.08,Dentist,1/30/2024
111.91,Childcare Service,1/1/2024
215.43,Butcher,5/15/2024
657.26,Airline Ticket,12/3/2023
959.19,Taxi,1/6/2024
322.71,Restaurant,10/9/2023
578.63,Investment,6/12/2024
654.29,Education Fee,8/23/2023
769.16,Book Store,3/23/2024
506.48,Furniture Store,8/2/2023
480.22,Doctor's Visit,11/13/2023
818.19,Education Fee,8/7/2023
653.16,Bakery,11/3/2023
65.46,Restaurant,7/12/2024
41.04,Gas Station,7/4/2024
26.04,Pharmacy,3/7/2024
612.62,Accounting Service,8/4/2023
890.79,Movie Theater,8/14/2023
929.27,Home Improvement,11/3/2023
536.36,Amazon,2/26/2024
577.2,Florist,7/23/2024
313.46,Hotel,3/17/2024
529.68,Dentist,8/27/2023
796.1,Amazon,6/22/2024
92.01,Doctor's Visit,9/25/2023
269.77,Airline Ticket,9/28/2023
360.74,Uber,6/2/2024
982.34,Public Transport,2/2/2024
195.46,Butcher,4/28/2024
525.07,Spotify,11/4/2023
688.89,Hardware Purchase,12/13/2023
109.21,Insurance Payment,6/6/2024
540.38,Music Instrument Store,4/19/2024
458.61,Pet Store,4/18/2024
782.66,Pharmacy,5/13/2024
797.08,Mortgage,11/12/2023
100.96,Property Tax,11/20/2023
237.39,Uber,10/3/2023
273.82,Insurance Payment,5/11/2024
781.79,Business Service,10/28/2023
998.02,Investment,9/14/2023
732.82,Mortgage,1/4/2024
915.02,Bakery,2/3/2024
259.04,Courier Service,10/5/2023
789.32,Uber,2/20/2024
716.63,Netflix,3/23/2024
159.59,House Cleaning,5/31/2024
512.31,Deli,1/26/2024
720.1,Courier Service,5/13/2024
709.49,Home Improvement,5/30/2024
227.55,Fitness Equipment,1/5/2024
768.21,Bakery,6/29/2024
797.83,Restaurant,11/27/2023
394.45,Florist,8/17/2023
724.86,Education Fee,2/13/2024
483.8,Deli,7/28/2024
295.01,Fitness Equipment,12/14/2023
206.15,Vet Visit,12/18/2023
624.11,Restaurant,9/28/2023
581.55,Video Game Store,3/25/2024
25.52,Charity Donation,10/4/2023
455.28,Music Instrument Store,5/1/2024
490.11,Gas Station,9/21/2023
679.33,Amazon,1/1/2024
419.94,Gift Shop,12/28/2023
469.07,Business Service,3/25/2024
469.61,Bank Fee,2/9/2024
758.41,Hardware Purchase,8/12/2023
231.63,Home Improvement,4/26/2024
293.45,Butcher,2/13/2024
180.51,Vet Visit,7/6/2024
713.47,Coffee Shop,2/6/2024
121.02,Education Fee,8/25/2023
980.73,Netflix,6/13/2024
170.97,Deli,4/22/2024
434.3,Business Service,8/21/2023
673.29,Pet Store,12/1/2023
359.3,Education Fee,5/19/2024
36.43,Gas Station,11/29/2023
449.51,Hardware Purchase,7/11/2024
848.49,Software Purchase,4/6/2024
843.15,Hotel,2/13/2024
150.66,Gardening Service,7/24/2024
174.79,Gift Shop,10/7/2023
391.54,Streaming Service,5/10/2024
250.53,Home Improvement,9/28/2023
423.39,Video Game Store,7/9/2024
840.38,Spotify,4/28/2024
206.87,Business Service,3/23/2024
982.03,Spotify,7/26/2024
904.65,Butcher,6/22/2024
562.13,Spotify,7/21/2024
915.41,Concert Ticket,9/5/2023
421.87,Butcher,8/3/2023
375.55,Streaming Service,8/22/2023
358.81,Grocery Store,7/30/2024
204.87,Broker Fee,10/23/2023
360.83,Restaurant,7/27/2024
468.76,Parking,7/8/2024
81.08,Vet Visit,2/27/2024
563.97,Bank Fee,3/30/2024
898.72,Gardening Service,7/2/2024
596.24,Movie Theater,8/14/2023
474.29,Hair Salon,3/9/2024
854.91,Music Instrument Store,2/19/2024
588.71,Charity Donation,6/25/2024
558.13,Freelance Payment,3/25/2024
119.01,Lottery Ticket,5/25/2024
405.61,Freelance Payment,5/1/2024
965.61,Software Purchase,10/8/2023
535.7,Gas Station,11/29/2023
503.24,Consulting Fee,3/1/2024
96.87,Airline Ticket,1/27/2024
206.18,Bank Fee,2/22/2024
397.9,Software Purchase,9/20/2023
476.67,Subscription Box,1/26/2024
891.23,Charity Donation,1/3/2024
612.57,Public Transport,1/31/2024
41.59,Spa,1/25/2024
72.61,Hair Salon,8/14/2023
614.51,Spotify,9/4/2023
437.46,Clothing Store,5/15/2024
828.75,Education Fee,1/13/2024
333.66,Hotel,12/13/2023
223.81,Movie Theater,11/11/2023
128.9,Movie Theater,11/4/2023
28.61,Coffee Shop,10/26/2023
563.41,Streaming Service,8/18/2023
510.15,Gym Membership,9/29/2023
614.08,Fitness Equipment,9/10/2023
585.28,Electronics Store,4/21/2024
13.48,Legal Service,3/13/2024
521.36,Movie Theater,5/5/2024
291.93,Freelance Payment,4/17/2024
748.03,Pharmacy,8/11/2023
680.17,Bakery,12/21/2023
37.86,Gas Station,4/1/2024
98.35,Business Service,2/5/2024
970.26,Gift Shop,9/1/2023
68.5,Hardware Purchase,3/14/2024
883.93,Public Transport,4/8/2024
468.8,Deli,5/20/2024
998.13,Butcher,11/4/2023
34.04,Car Rental,10/28/2023
618.61,Fast Food,8/24/2023
948.71,Grocery Store,10/28/2023
772.08,Uber,6/9/2024
647.9,Freelance Payment,6/1/2024
848.53,Doctor's Visit,11/17/2023
897.34,Book Store,7/29/2024
472.38,Bank Fee,7/22/2024
261.41,Deli,1/25/2024
689.49,Insurance Payment,12/29/2023
545.17,Pet Store,9/1/2023
273.05,Music Instrument Store,12/11/2023
50.56,Insurance Payment,7/19/2024
967.54,Video Game Store,11/7/2023
530.24,Home Improvement,2/23/2024
767.1,Taxi,1/2/2024
339.54,Accounting Service,2/7/2024
854.19,Fast Food,3/17/2024
975.21,Consulting Fee,5/28/2024
342.74,Business Service,1/28/2024
924.84,Broker Fee,8/12/2023
71.79,Bank Fee,2/22/2024
522.16,Home Improvement,4/27/2024
881.97,Education Fee,6/1/2024
510.41,Parking,3/15/2024
707.45,Book Store,1/27/2024
337.11,House Cleaning,5/1/2024
496.97,Deli,12/3/2023
668.52,Fast Food,7/2/2024
34.6,Movie Theater,9/23/2023
616.99,Restaurant,9/7/2023
990.93,Bakery,5/3/2024
495.87,Online Course,5/26/2024
398.83,Hair Salon,1/29/2024
14.24,Airline Ticket,5/8/2024
576.72,Home Improvement,3/24/2024
749,Hotel,9/20/2023
250.37,Gym Membership,11/18/2023
451.97,Consulting Fee,3/28/2024
508.78,Bank Fee,10/21/2023
793.78,Software Purchase,7/2/2024
92.48,Childcare Service,1/19/2024
354.7,Investment,12/10/2023
266.96,Restaurant,6/3/2024
385.57,Airline Ticket,2/25/2024
616.67,Mortgage,10/13/2023
646.5,Accounting Service,2/23/2024
223.38,Netflix,12/25/2023
194.17,Fitness Equipment,9/15/2023
879.94,Gas Station,7/26/2024
759.38,Bakery,10/28/2023
747.47,Mortgage,1/20/2024
662.02,Music Instrument Store,1/16/2024
994.2,Gardening Service,12/15/2023
907,Spa,3/11/2024
262.67,Doctor's Visit,3/3/2024
446.38,Pet Store,9/2/2023
768.91,Courier Service,4/14/2024
34.45,Legal Service,9/13/2023
716.67,Education Fee,5/26/2024
167.24,Vet Visit,5/27/2024
446.59,Accounting Service,2/1/2024
941.54,Music Instrument Store,6/24/2024
930.95,Coffee Shop,1/19/2024
732.12,Courier Service,11/21/2023
961.26,Parking,11/16/2023
736.68,Clothing Store,6/3/2024
51.16,Gas Station,1/17/2024
633.03,Courier Service,7/29/2024
282.33,Electronics Store,4/23/2024
934.91,Bank Fee,7/11/2024
469.78,Bank Fee,1/28/2024
583.21,Spa,10/25/2023
191.24,Gas Station,1/26/2024
706.07,Coffee Shop,1/14/2024
823.93,Maintenance Fee,3/14/2024
73.88,Childcare Service,8/31/2023
751.21,Uber,1/27/2024
510.35,Clothing Store,11/20/2023
568.25,Hair Salon,12/16/2023
355.18,Parking,4/5/2024
105.98,Clothing Store,7/21/2024
991.51,Airline Ticket,1/1/2024
484.64,Uber,6/13/2024
833.92,Gift Shop,1/16/2024
374.28,Accounting Service,6/15/2024
659.27,Childcare Service,6/7/2024
368.21,Video Game Store,12/10/2023
674.48,Lottery Ticket,5/16/2024
426.92,Grocery Store,12/30/2023
280.64,Spotify,10/18/2023
840.51,Pet Store,7/3/2024
876.37,Uber,11/11/2023
552.55,Pharmacy,3/30/2024
450.72,Subscription Box,3/25/2024
940.71,Rent,9/25/2023
288.35,Fitness Equipment,12/22/2023
218.5,Lottery Ticket,9/22/2023
100.47,Pharmacy,2/29/2024
728.06,Bakery,3/24/2024
959.02,Childcare Service,10/3/2023
856.65,Pharmacy,12/18/2023
862.27,Taxi,2/1/2024
12.98,Courier Service,3/28/2024
905.03,Coffee Shop,2/6/2024
200.53,Insurance Payment,2/29/2024
430.49,Deli,7/12/2024
173.7,Online Course,5/9/2024
575.4,Netflix,2/6/2024
946.89,Pharmacy,2/2/2024
452.62,Butcher,7/1/2024
824.25,Butcher,10/2/2023
809.42,Pet Store,4/5/2024
361.08,Restaurant,2/15/2024
615.2,Business Service,8/29/2023
634.07,Gift Shop,7/23/2024
868.81,Gift Shop,12/4/2023
70.06,Accounting Service,9/8/2023
22.42,Airline Ticket,3/13/2024
901.7,Insurance Payment,12/13/2023
270.77,Video Game Store,10/26/2023
323.31,Broker Fee,2/15/2024
842.32,Music Instrument Store,5/17/2024
555.44,Hotel,9/1/2023
597.34,Parking,10/3/2023
231.07,Doctor's Visit,10/4/2023
328.57,Property Tax,1/12/2024
226.54,Software Purchase,9/19/2023
218.31,Pet Store,11/13/2023
300.91,Gas Station,4/12/2024
79.81,Fitness Equipment,11/25/2023
256.85,Gift Shop,5/19/2024
527.51,Business Service,7/23/2024
530.77,Freelance Payment,6/26/2024
266.84,Music Instrument Store,4/13/2024
687.53,Butcher,5/6/2024
279.64,Video Game Store,11/3/2023
788.7,Coffee Shop,8/17/2023
346.74,Legal Service,9/27/2023
33.06,Home Improvement,2/9/2024
652.17,Consulting Fee,5/11/2024
582.02,Courier Service,3/28/2024
561.56,Childcare Service,7/10/2024
112.17,Movie Theater,5/29/2024
220.33,Education Fee,2/19/2024
614,Spotify,3/9/2024
450.3,Book Store,8/18/2023
645.18,Taxi,12/31/2023
577.03,Fitness Equipment,10/1/2023
322.02,Vet Visit,4/8/2024
834.77,Deli,6/24/2024
482.55,Dentist,3/31/2024
125.77,Bakery,9/16/2023
576.44,Taxi,12/14/2023
866.02,Uber,3/10/2024
868.97,Concert Ticket,12/18/2023
549.51,Movie Theater,12/25/2023
213.59,Utility Bill,7/31/2024
330.07,Accounting Service,5/14/2024
991.04,Electronics Store,7/21/2024
553.04,House Cleaning,12/26/2023
850.27,Property Tax,6/29/2024
681.04,Hotel,1/27/2024
812.83,Home Improvement,10/21/2023
174.95,Book Store,6/16/2024
844.92,House Cleaning,12/24/2023
673.35,Book Store,9/22/2023
699.61,Rent,3/9/2024
61.16,Taxi,8/24/2023
545.02,Courier Service,3/21/2024
768.6,Hair Salon,8/5/2023
328.4,Pet Store,9/7/2023
884.88,Bank Fee,4/29/2024
36.26,Video Game Store,2/6/2024
116.19,Education Fee,3/21/2024
509.79,Legal Service,8/6/2023
680.85,Butcher,2/23/2024
22.74,Bakery,5/16/2024
30.99,Airline Ticket,10/13/2023
922.04,Dentist,3/18/2024
583.65,Subscription Box,4/16/2024
41.6,Courier Service,5/11/2024
694.92,Charity Donation,5/15/2024
262.43,Parking,12/14/2023
87.56,Taxi,2/18/2024
805.69,Gift Shop,11/8/2023
214.56,Fast Food,10/13/2023
905.31,Streaming Service,6/17/2024
291.07,Childcare Service,8/6/2023
673.93,Spa,9/4/2023
272.47,Rent,7/12/2024
160.09,Business Service,8/20/2023
728.85,Home Improvement,4/1/2024
647.69,Dentist,10/17/2023
707.75,Parking,3/23/2024
363.47,Concert Ticket,7/23/2024
884.54,Pet Store,10/23/2023
609.96,Public Transport,7/14/2024
614.81,Butcher,12/8/2023
421.62,Business Service,4/2/2024
614.67,Courier Service,1/23/2024
788.98,Broker Fee,10/23/2023
821.45,Childcare Service,10/19/2023
194.21,Video Game Store,4/11/2024
737.87,Lottery Ticket,5/12/2024
301.7,Hotel,8/14/2023
602.85,Accounting Service,7/22/2024
290.49,Taxi,11/5/2023
899.54,Gift Shop,12/11/2023
121,Fitness Equipment,8/17/2023
726.84,Software Purchase,3/5/2024
252.4,Movie Theater,2/13/2024
508.1,Hardware Purchase,7/1/2024
7.74,Book Store,12/9/2023
225.37,Dentist,12/18/2023
319.2,Grocery Store,11/6/2023
984.24,Uber,3/10/2024
936.42,Rent,11/21/2023
373.61,Maintenance Fee,4/26/2024
801.01,Dentist,12/28/2023
491.19,Home Improvement,6/9/2024
954.4,Movie Theater,7/27/2024
518.48,Electronics Store,6/5/2024
438.26,Pharmacy,4/28/2024
193.32,Airline Ticket,7/25/2024
408.27,Courier Service,3/5/2024
461.77,Dentist,10/24/2023
268.29,Fitness Equipment,12/17/2023
577.89,Netflix,3/23/2024
458.78,Education Fee,11/12/2023
847.09,Car Rental,12/25/2023
355.09,Gift Shop,10/23/2023
958.64,Bank Fee,12/17/2023
120.06,Car Rental,11/7/2023
979.78,Florist,1/16/2024
613.52,Gift Shop,10/6/2023
531.75,Fast Food,5/12/2024
224.1,Freelance Payment,9/3/2023
731.51,Broker Fee,8/15/2023
179.92,Restaurant,5/16/2024
835.11,Consulting Fee,3/11/2024
169.32,Hardware Purchase,11/17/2023
456.84,Movie Theater,1/31/2024
860.58,Coffee Shop,3/7/2024
983.28,Accounting Service,7/11/2024
667.78,Freelance Payment,5/2/2024
861.81,Education Fee,9/14/2023
693.04,Insurance Payment,8/23/2023
457.19,House Cleaning,8/14/2023
320.09,House Cleaning,8/14/2023
87.12,Butcher,1/15/2024
253.54,Concert Ticket,8/2/2023
600.83,Doctor's Visit,2/21/2024
936.16,Pet Store,12/4/2023
743.09,Video Game Store,11/14/2023
829.11,Florist,1/14/2024
920.75,Deli,10/12/2023
602.29,Online Course,2/15/2024
528.31,Taxi,6/30/2024
319.58,Pet Store,3/15/2024
440.57,Streaming Service,1/14/2024
331.18,Gardening Service,12/7/2023
472.47,Deli,9/6/2023
385.83,Book Store,10/18/2023
550.6,Software Purchase,12/12/2023
371.17,Home Improvement,3/19/2024
276.72,Clothing Store,11/2/2023
639.94,Car Rental,3/3/2024
141.16,Business Service,1/18/2024
870.71,Clothing Store,8/5/2023
620.9,Freelance Payment,6/7/2024
910.95,Courier Service,3/14/2024
416.88,Taxi,7/23/2024
663.65,Business Service,8/30/2023
72.15,Florist,7/2/2024
338.36,Florist,12/14/2023
634.59,Pet Store,12/22/2023
627.59,Vet Visit,6/2/2024
854.12,Spotify,12/5/2023
603.98,Gift Shop,6/10/2024
737.83,Subscription Box,9/10/2023
347.73,Mortgage,1/11/2024
677.03,Spotify,8/24/2023
194.06,Software Purchase,3/25/2024
434.45,Charity Donation,9/26/2023
395.56,Pharmacy,11/17/2023
162.97,Software Purchase,10/27/2023
698.11,Home Improvement,12/25/2023
534.58,Taxi,3/6/2024
706.74,Netflix,3/17/2024
526.95,Pet Store,6/5/2024
857.73,Hair Salon,5/17/2024
405.63,Fast Food,4/15/2024
557.27,Hardware Purchase,11/6/2023
590.77,Online Course,4/16/2024
292.8,Charity Donation,4/14/2024
871.92,Online Course,11/29/2023
783.41,Gas Station,2/9/2024
83.7,Spa,8/19/2023
528.24,Deli,3/27/2024
285.99,Property Tax,11/16/2023
409.08,Bank Fee,3/30/2024
740.95,Online Course,6/11/2024
874.99,Gas Station,11/16/2023
154.95,Dentist,9/23/2023
387.36,Broker Fee,12/3/2023
788.99,Software Purchase,1/3/2024
664.9,Childcare Service,5/10/2024
920.76,Freelance Payment,9/9/2023
86.54,Public Transport,12/24/2023
793.57,Clothing Store,8/17/2023
715.5,Courier Service,10/2/2023
85.26,Streaming Service,11/21/2023
606.92,Movie Theater,5/30/2024
726.07,Gas Station,3/7/2024
381.61,House Cleaning,2/29/2024
725.13,Education Fee,11/12/2023
134.52,Electronics Store,5/18/2024
724.35,Spa,8/25/2023
545.52,Grocery Store,12/6/2023
524.33,Hair Salon,7/31/2024
524.69,Accounting Service,12/23/2023
406.03,Hair Salon,2/20/2024
200.62,Spotify,1/19/2024
457.07,Subscription Box,8/22/2023
32.31,Clothing Store,4/30/2024
998.22,Spa,11/8/2023
782.36,Pet Store,3/26/2024
863.62,Hotel,5/26/2024
35.02,Grocery Store,7/25/2024
428.94,Gas Station,10/17/2023
103.9,Fast Food,10/23/2023
989.56,Butcher,6/17/2024
665.04,Software Purchase,8/13/2023
221.66,Restaurant,2/10/2024
827.04,Property Tax,12/24/2023
487.86,Utility Bill,3/17/2024
236.09,Clothing Store,4/7/2024
15.84,Gardening Service,8/12/2023
497.26,Coffee Shop,4/16/2024
33.19,Spa,2/17/2024
957.03,Accounting Service,3/12/2024
717.9,Dentist,4/10/2024
358.41,Bakery,7/30/2024
64.05,Electronics Store,3/1/2024
439.14,Accounting Service,5/19/2024
691.4,Taxi,1/14/2024
322.39,Freelance Payment,1/8/2024
606.62,Electronics Store,5/16/2024
238.89,Clothing Store,8/28/2023
122.32,Investment,7/31/2024
831.06,Insurance Payment,5/10/2024
825,Uber,5/28/2024
786.29,Restaurant,10/27/2023
332.26,Video Game Store,10/12/2023
39.27,Maintenance Fee,7/5/2024
852.15,Insurance Payment,3/16/2024
526.03,Gift Shop,10/22/2023
517.94,House Cleaning,2/23/2024
905.12,Public Transport,6/14/2024
21.54,Broker Fee,5/26/2024
540.83,Deli,10/28/2023
214.88,Subscription Box,8/22/2023
544.44,Utility Bill,3/2/2024
417.87,Deli,9/28/2023
739.24,Freelance Payment,11/7/2023
786.9,Courier Service,9/7/2023
972.64,House Cleaning,9/7/2023
190.57,Netflix,7/30/2024
344.82,Fast Food,6/19/2024
901.26,Hardware Purchase,9/5/2023
93.95,Bank Fee,6/27/2024
713.37,Clothing Store,2/10/2024
312.25,Education Fee,9/5/2023
251.45,Amazon,1/28/2024
65.9,Broker Fee,7/9/2024
833.63,Business Service,9/11/2023
514.74,Book Store,7/7/2024
423.36,Charity Donation,3/11/2024
310.83,Music Instrument Store,3/23/2024
526.65,Butcher,9/18/2023
905.47,Mortgage,1/20/2024
893.99,Home Improvement,12/26/2023
129.31,Education Fee,5/12/2024
977.69,Legal Service,3/19/2024
248.49,Investment,1/11/2024
724.12,Concert Ticket,10/5/2023
744.64,Legal Service,6/4/2024
149.01,Online Course,3/27/2024
958.42,Business Service,12/25/2023
963.42,Online Course,6/18/2024
492.77,Car Rental,8/27/2023
102.7,Childcare Service,8/23/2023
371.87,Concert Ticket,4/6/2024
851.93,Florist,1/4/2024
219.94,Education Fee,9/24/2023
501.9,Gas Station,4/6/2024
684.19,Accounting Service,10/8/2023
362.61,Clothing Store,3/15/2024
174.8,Utility Bill,11/30/2023
518.9,Freelance Payment,10/23/2023
623.45,Gift Shop,5/24/2024
343.56,Bank Fee,11/20/2023
16.14,Book Store,5/23/2024
41.5,Hair Salon,11/9/2023
656,Education Fee,2/8/2024
653.48,Uber,11/28/2023
653.81,Bank Fee,6/18/2024
693.54,Parking,7/27/2024
517.76,Grocery Store,11/19/2023
240.69,Butcher,6/29/2024
100.52,Furniture Store,10/27/2023
316.65,Fitness Equipment,12/5/2023
42.69,Spotify,6/1/2024
498.41,Concert Ticket,5/17/2024
929.04,Bakery,1/13/2024
926.35,Childcare Service,2/9/2024
25.21,Deli,4/25/2024
308.48,Taxi,6/10/2024
536.81,Charity Donation,9/9/2023
930.61,Broker Fee,3/13/2024
398.53,Uber,5/8/2024
613.75,Hotel,12/18/2023
30.26,Rent,3/30/2024
582.58,Mortgage,3/13/2024
878.09,Fitness Equipment,10/9/2023
190,Property Tax,5/10/2024
538.81,Vet Visit,8/24/2023
42.38,Deli,9/3/2023
990.23,Courier Service,11/1/2023
81.11,Charity Donation,12/24/2023
693.56,Music Instrument Store,2/25/2024
894.27,Broker Fee,6/11/2024
542.57,Bank Fee,11/27/2023
520.88,Electronics Store,6/3/2024
195.81,Accounting Service,7/5/2024
107.94,Coffee Shop,2/15/2024
791.04,Streaming Service,1/7/2024
105.86,Gardening Service,8/25/2023
416.43,Consulting Fee,1/26/2024
699.26,Online Course,12/10/2023
542.52,Business Service,1/20/2024
940.44,Utility Bill,9/30/2023
963.65,Coffee Shop,8/18/2023
795.12,Gas Station,6/5/2024
790.67,Spa,9/9/2023
152.6,Public Transport,6/3/2024
245.24,Clothing Store,4/16/2024
986.04,Restaurant,6/3/2024
227.98,Dentist,9/30/2023
189.75,Clothing Store,2/20/2024
437.03,Software Purchase,9/18/2023
657.4,Book Store,6/8/2024
98.97,Hotel,11/1/2023
570.47,Education Fee,7/17/2024
654.06,Uber,11/11/2023
842.23,Restaurant,6/12/2024
324.83,Hair Salon,1/14/2024
64.98,Dentist,8/11/2023
492.92,Insurance Payment,12/27/2023
78.58,Clothing Store,11/13/2023
61.39,Rent,9/7/2023
640.95,Dentist,5/1/2024
708.43,Coffee Shop,2/3/2024
76.08,Courier Service,3/17/2024
951.3,Spa,1/28/2024
88.13,Charity Donation,12/19/2023
731.18,Childcare Service,7/5/2024
54.9,Grocery Store,4/15/2024
732.26,Butcher,3/19/2024
567.98,Spotify,8/3/2023
718.57,Software Purchase,8/25/2023
546.6,Gas Station,2/17/2024
486.78,Property Tax,5/29/2024
277.44,Accounting Service,6/30/2024
334.38,Childcare Service,2/4/2024
746.76,Mortgage,5/20/2024
900.08,Furniture Store,12/10/2023
302.9,Rent,7/22/2024
722.88,Home Improvement,12/13/2023
378.83,Clothing Store,1/30/2024
875.23,Utility Bill,3/19/2024
320.57,Clothing Store,3/2/2024
861.75,Movie Theater,5/15/2024
712.61,Florist,8/23/2023
133.37,Book Store,3/11/2024
975.45,Accounting Service,1/19/2024
418.91,Online Course,7/7/2024
840.79,Lottery Ticket,7/7/2024
71.96,Hardware Purchase,10/13/2023
195.48,Gardening Service,7/5/2024
737.37,Hotel,5/3/2024
559.92,House Cleaning,5/20/2024
796.91,Fast Food,8/31/2023
797.03,Amazon,2/5/2024
708.04,Maintenance Fee,10/20/2023
616.98,Lottery Ticket,5/21/2024
493.86,Home Improvement,6/3/2024
737.18,Coffee Shop,2/24/2024
325.36,Clothing Store,9/10/2023
875.54,Vet Visit,7/4/2024
468.07,Gym Membership,4/2/2024
907.93,Charity Donation,11/26/2023
518.89,Furniture Store,4/1/2024
723.95,Music Instrument Store,8/30/2023
435.33,Broker Fee,6/20/2024
685.01,Movie Theater,3/15/2024
121.88,Amazon,6/29/2024
40.84,Hardware Purchase,3/17/2024
391.67,Insurance Payment,9/6/2023
467.03,Broker Fee,4/12/2024
302.21,Coffee Shop,4/24/2024
705.06,Airline Ticket,10/27/2023
978.62,Streaming Service,1/25/2024
611.37,Music Instrument Store,11/24/2023
856.33,Clothing Store,2/26/2024
319.38,Concert Ticket,7/30/2024
259.53,Concert Ticket,11/6/2023
430.3,Pharmacy,12/8/2023
987.04,Gift Shop,8/8/2023
329.41,Fitness Equipment,7/28/2024
