Amount_Spent,Transaction_Type,Date,Gemini_Category
630.1,Vet Visit,4/20/2024,Health
242.85,Legal Service,5/24/2024,Services
806.85,Restaurant,1/9/2024,Food
672.99,Grocery Store,9/11/2023,Food
871.09,Doctor's Visit,9/30/2023,Health
777.23,Consulting Fee,5/25/2024,Services
861.81,Gym Membership,10/10/2023,other
68.18,Furniture Store,8/19/2023,Shopping
950.48,Spotify,8/7/2023,other
8.11,Taxi,1/22/2024,Transportation
237.01,Online Course,4/9/2024,Entertainment
742.86,Consulting Fee,3/6/2024,Services
204.7,Clothing Store,12/8/2023,Shopping
257.54,Software Purchase,7/19/2024,other
225.28,Bank Fee,11/8/2023,Other
745.05,Parking,4/29/2024,Transportation
463.38,Consulting Fee,5/7/2024,Services
362.7,Concert Ticket,10/19/2023,Entertainment
598.98,Parking,7/11/2024,Transportation
229.45,Electronics Store,7/25/2024,Shopping
95.09,Freelance Payment,3/15/2024,Services
669.65,Gym Membership,11/27/2023,other
741.82,Subscription Box,9/22/2023,Entertainment
392.25,Rent,1/5/2024,other
194.87,Uber,10/4/2023,Transportation
446.1,Music Instrument Store,12/29/2023,Shopping
624.76,Car Rental,12/21/2023,Transportation
453.29,Software Purchase,1/6/2024,other
963.82,Gift Shop,4/5/2024,Personal Care
202.59,Fitness Equipment,7/17/2024,other
965.18,Legal Service,2/12/2024,Services
738.17,Coffee Shop,3/20/2024,Food
154.09,Netflix,8/19/2023,Entertainment
116.28,Butcher,10/12/2023,Food
846.01,Clothing Store,6/4/2024,Shopping
798.57,Mortgage,4/12/2024,Investments
61.59,Gym Membership,3/9/2024,other
869.29,Netflix,6/28/2024,Entertainment
114.52,Rent,1/24/2024,other
704.22,Business Service,8/30/2023,Services
963.86,Childcare Service,2/27/2024,Services
141.91,Public Transport,2/23/2024,Transportation
629.66,Video Game Store,10/10/2023,other
329.67,Fast Food,9/26/2023,Food
600.27,Property Tax,6/15/2024,Home
199.42,Investment,7/27/2024,Investments
409.96,Amazon,4/19/2024,Shopping
187.63,Gift Shop,11/12/2023,Personal Care
453.05,Mortgage,7/12/2024,Investments
503.9,Maintenance Fee,4/15/2024,Services
20.3,Music Instrument Store,2/6/2024,Shopping
730.01,Pharmacy,5/9/2024,Health
794.6,Bakery,6/29/2024,Food
224.05,Gas Station,3/21/2024,Transportation
191.94,Mortgage,5/28/2024,Investments
393.12,Car Rental,9/13/2023,Transportation
270.83,Education Fee,5/12/2024,Services
61.94,Clothing Store,6/19/2024,Shopping
543.09,Utility Bill,10/5/2023,other
951.09,Airline Ticket,11/16/2023,Transportation
252.42,Book Store,7/17/2024,Shopping
323.61,Video Game Store,11/2/2023,other
707.95,Hair Salon,6/30/2024,Personal Care
451.05,Broker Fee,2/27/2024,other
378.6,Mortgage,7/29/2024,Investments
766.89,Home Improvement,2/11/2024,Home
126.09,Fitness Equipment,10/21/2023,other
328.26,Hair Salon,8/29/2023,Personal Care
520.92,Coffee Shop,2/21/2024,Food
322.18,Hotel,11/13/2023,other
340.19,Home Improvement,12/26/2023,Home
162.86,Amazon,4/30/2024,Shopping
975.71,Investment,11/14/2023,Investments
994.65,Mortgage,8/3/2023,Investments
349.33,Clothing Store,12/29/2023,Shopping
375.27,Concert Ticket,10/5/2023,Entertainment
323.48,Freelance Payment,7/1/2024,Services
24.79,Furniture Store,5/23/2024,Shopping
264.79,Gas Station,4/22/2024,Transportation
310.43,Pharmacy,5/6/2024,Health
151.97,Butcher,4/23/2024,Food
105.46,Public Transport,5/31/2024,Transportation
814.54,Coffee Shop,9/28/2023,Food
885.89,Doctor's Visit,11/10/2023,Health
995.73,Subscription Box,8/3/2023,Entertainment
977.57,Gift Shop,3/27/2024,Personal Care
531.61,Gift Shop,4/7/2024,Personal Care
444.97,Maintenance Fee,1/30/2024,Services
692.24,Deli,3/18/2024,other
583.18,Bakery,2/15/2024,Food
7.17,Fast Food,11/10/2023,Food
97.7,Consulting Fee,6/20/2024,Services
51.43,Lottery Ticket,3/19/2024,Other
672.89,Concert Ticket,4/13/2024,Entertainment
277.69,Pet Store,7/27/2024,other
446.18,Parking,10/22/2023,Transportation
364.8,Maintenance Fee,10/31/2023,Services
658.48,Freelance Payment,10/6/2023,Services
969.9,Broker Fee,11/2/2023,other
397.38,Hair Salon,10/29/2023,Personal Care
99.35,Education Fee,7/11/2024,Services
573.08,Hotel,5/18/2024,other
804.3,Spa,5/2/2024,Personal Care
86.2,Book Store,7/8/2024,Shopping
617.42,Butcher,11/9/2023,Food
877.86,Taxi,5/25/2024,Transportation
778.3,Freelance Payment,6/12/2024,Services
688.83,Amazon,7/19/2024,Shopping
413.33,House Cleaning,5/29/2024,Home
735.52,Coffee Shop,3/18/2024,Food
704.75,Uber,7/3/2024,Transportation
868.45,Software Purchase,11/28/2023,other
805.81,Pharmacy,2/7/2024,Health
713.91,Home Improvement,9/29/2023,Home
96.19,Charity Donation,6/5/2024,Charity
994.42,Bank Fee,5/4/2024,Other
29.14,Charity Donation,5/14/2024,Charity
27.28,Clothing Store,12/18/2023,Shopping
986.07,Broker Fee,6/16/2024,other
27.84,Software Purchase,6/12/2024,other
231.77,Book Store,11/18/2023,Shopping
104.47,Video Game Store,10/17/2023,other
103.76,Clothing Store,1/1/2024,Shopping
460.91,Insurance Payment,7/24/2024,other
220.59,Deli,10/22/2023,other
497.31,Car Rental,3/13/2024,Transportation
102.22,Lottery Ticket,7/8/2024,Other
636.24,Concert Ticket,9/3/2023,Entertainment
954.74,Electronics Store,5/1/2024,Shopping
760.93,Concert Ticket,1/13/2024,Entertainment
802.95,Property Tax,6/2/2024,Home
694.64,Book Store,2/11/2024,Shopping
345.21,Spotify,3/13/2024,other
349.92,Florist,1/20/2024,Personal Care
160.75,Public Transport,1/5/2024,Transportation
170.39,Hardware Purchase,6/4/2024,Shopping
517.87,Online Course,5/17/2024,Entertainment
154.93,Car Rental,12/9/2023,Transportation
307.79,Home Improvement,8/1/2024,Home
48.87,Furniture Store,6/16/2024,Shopping
781.8,Lottery Ticket,3/7/2024,Other
485.21,Fitness Equipment,12/1/2023,other
714.78,Streaming Service,7/22/2024,Entertainment
616.66,Airline Ticket,12/12/2023,Transportation
761.32,Hair Salon,10/10/2023,Personal Care
649.45,Insurance Payment,8/2/2023,other
42.37,Coffee Shop,1/5/2024,Food
955.54,Amazon,9/28/2023,Shopping
881.27,Spa,4/23/2024,Personal Care
421.6,Florist,3/8/2024,Personal Care
498.7,Gas Station,12/10/2023,Transportation
183.62,Bakery,9/18/2023,Food
767.49,Subscription Box,10/26/2023,Entertainment
309.45,Childcare Service,12/20/2023,Services
141.81,Streaming Service,12/16/2023,Entertainment
719.26,Software Purchase,4/9/2024,other
726.58,Fast Food,6/28/2024,Food
187.98,Doctor's Visit,7/8/2024,Health
22.4,Investment,12/12/2023,Investments
877.71,Bank Fee,3/26/2024,Other
731.71,Rent,7/10/2024,other
296.27,Concert Ticket,12/24/2023,Entertainment
138.58,Restaurant,8/13/2023,Food
703.36,Hotel,12/6/2023,other
951.08,Spotify,4/11/2024,other
750.81,Electronics Store,1/24/2024,Shopping
844.36,Taxi,9/18/2023,Transportation
936.68,Investment,9/5/2023,Investments
457.77,Grocery Store,5/20/2024,Food
480.62,Clothing Store,1/8/2024,Shopping
394.45,House Cleaning,12/9/2023,Home
675.14,Maintenance Fee,6/18/2024,Services
599.05,Utility Bill,1/18/2024,other
523.67,Pet Store,9/26/2023,other
148.52,Charity Donation,9/17/2023,Charity
862.88,Fast Food,11/9/2023,Food
700.66,Gardening Service,6/19/2024,Services
105.97,Furniture Store,3/27/2024,Shopping
731.59,Lottery Ticket,12/17/2023,Other
564.05,Consulting Fee,4/1/2024,Services
354.51,Lottery Ticket,3/21/2024,Other
724.86,Hotel,10/12/2023,other
301.9,Bakery,3/30/2024,Food
916.08,Doctor's Visit,4/12/2024,Health
986.94,Video Game Store,9/19/2023,other
251.81,Legal Service,2/6/2024,Services
952.04,Vet Visit,4/3/2024,Health
914.41,Taxi,11/28/2023,Transportation
82.76,Grocery Store,10/20/2023,Food
264.4,Gardening Service,2/9/2024,Services
741.75,Accounting Service,4/30/2024,Services
898.02,Rent,9/28/2023,other
435.67,Fitness Equipment,12/2/2023,other
102.42,Hardware Purchase,11/26/2023,Shopping
603.34,Hardware Purchase,11/23/2023,Shopping
402.81,Pet Store,5/7/2024,other
966.12,Taxi,7/3/2024,Transportation
128.69,Grocery Store,9/6/2023,Food
150.15,Gardening Service,1/24/2024,Services
160.46,Vet Visit,4/27/2024,Health
365.68,Consulting Fee,4/22/2024,Services
573.02,Coffee Shop,1/31/2024,Food
624.76,Uber,10/16/2023,Transportation
245.1,Accounting Service,11/13/2023,Services
821.85,Consulting Fee,12/6/2023,Services
993.18,Clothing Store,3/1/2024,Shopping
868.48,Clothing Store,8/1/2023,Shopping
37.14,Accounting Service,8/2/2023,Services
907.02,Public Transport,6/8/2024,Transportation
74.35,Insurance Payment,11/6/2023,other
793.16,Furniture Store,4/23/2024,Shopping
170.12,Streaming Service,9/17/2023,Entertainment
497.25,Book Store,11/25/2023,Shopping
561.67,Doctor's Visit,5/24/2024,Health
650.37,Taxi,11/9/2023,Transportation
606.24,Hair Salon,7/31/2024,Personal Care
825.18,Movie Theater,3/1/2024,Entertainment
927.61,Bakery,6/8/2024,Food
927.94,Netflix,11/7/2023,Entertainment
362.88,Book Store,8/6/2023,Shopping
62.37,Hair Salon,5/6/2024,Personal Care
507.75,Spa,10/25/2023,Personal Care
170.01,Vet Visit,6/1/2024,Health
817.25,Hardware Purchase,3/27/2024,Shopping
529.55,Subscription Box,4/18/2024,Entertainment
97.31,Gas Station,9/5/2023,Transportation
259.85,Pharmacy,5/28/2024,Health
716.79,Lottery Ticket,12/5/2023,Other
55.44,Pet Store,8/11/2023,other
174.44,Online Course,1/25/2024,Entertainment
624.85,Spotify,1/1/2024,other
930.6,Pharmacy,5/5/2024,Health
611.67,Concert Ticket,11/26/2023,Entertainment
761.3,Business Service,7/19/2024,Services
519.25,Insurance Payment,11/15/2023,other
589.8,Rent,8/8/2023,other
440.4,Business Service,2/12/2024,Services
982.57,Pharmacy,4/28/2024,Health
523.65,Bakery,4/29/2024,Food
399.06,Rent,6/13/2024,other
442.76,Movie Theater,2/29/2024,Entertainment
487.17,House Cleaning,4/12/2024,Home
88.37,Netflix,9/22/2023,Entertainment
843.9,Fitness Equipment,4/4/2024,other
201.44,Doctor's Visit,6/7/2024,Health
673.83,Bakery,3/23/2024,Food
26.97,Courier Service,1/23/2024,Transportation
948.17,Broker Fee,8/1/2023,other
652.89,Spotify,1/16/2024,other
362.14,Childcare Service,5/28/2024,Services
7.0,Book Store,3/14/2024,Shopping
443.8,Property Tax,12/16/2023,Home
57.21,Car Rental,10/27/2023,Transportation
379.34,Uber,1/17/2024,Transportation
660.13,Utility Bill,5/18/2024,other
406.26,Public Transport,4/8/2024,Transportation
149.4,Book Store,12/26/2023,Shopping
42.37,Florist,12/30/2023,Personal Care
130.36,Freelance Payment,10/29/2023,Services
419.56,Movie Theater,11/24/2023,Entertainment
281.12,Accounting Service,6/8/2024,Services
211.76,Butcher,11/2/2023,Food
311.71,Broker Fee,11/30/2023,other
945.6,Pet Store,8/20/2023,other
491.34,Hotel,12/30/2023,other
322.85,Gardening Service,3/29/2024,Services
802.96,Investment,4/16/2024,Investments
852.46,Coffee Shop,12/16/2023,Food
930.33,Bakery,4/22/2024,Food
213.76,Coffee Shop,9/29/2023,Food
849.99,Software Purchase,7/7/2024,other
874.37,Utility Bill,2/1/2024,other
499.83,Utility Bill,4/10/2024,other
433.46,Pharmacy,8/11/2023,Health
635.22,Airline Ticket,10/19/2023,Transportation
99.78,Public Transport,8/28/2023,Transportation
109.19,Dentist,7/27/2024,Health
972.68,Netflix,6/14/2024,Entertainment
944.01,Investment,12/19/2023,Investments
568.63,Taxi,6/4/2024,Transportation
383.1,Childcare Service,5/12/2024,Services
515.75,Florist,5/2/2024,Personal Care
628.69,Coffee Shop,9/9/2023,Food
331.63,Streaming Service,8/19/2023,Entertainment
699.48,Vet Visit,3/1/2024,Health
714.37,Legal Service,12/2/2023,Services
537.08,Dentist,1/30/2024,Health
111.91,Childcare Service,1/1/2024,Services
215.43,Butcher,5/15/2024,Food
657.26,Airline Ticket,12/3/2023,Transportation
959.19,Taxi,1/6/2024,Transportation
322.71,Restaurant,10/9/2023,Food
578.63,Investment,6/12/2024,Investments
654.29,Education Fee,8/23/2023,Services
769.16,Book Store,3/23/2024,Shopping
506.48,Furniture Store,8/2/2023,Shopping
480.22,Doctor's Visit,11/13/2023,Health
818.19,Education Fee,8/7/2023,Services
653.16,Bakery,11/3/2023,Food
65.46,Restaurant,7/12/2024,Food
41.04,Gas Station,7/4/2024,Transportation
26.04,Pharmacy,3/7/2024,Health
612.62,Accounting Service,8/4/2023,Services
890.79,Movie Theater,8/14/2023,Entertainment
929.27,Home Improvement,11/3/2023,Home
536.36,Amazon,2/26/2024,Shopping
577.2,Florist,7/23/2024,Personal Care
313.46,Hotel,3/17/2024,other
529.68,Dentist,8/27/2023,Health
796.1,Amazon,6/22/2024,Shopping
92.01,Doctor's Visit,9/25/2023,Health
269.77,Airline Ticket,9/28/2023,Transportation
360.74,Uber,6/2/2024,Transportation
982.34,Public Transport,2/2/2024,Transportation
195.46,Butcher,4/28/2024,Food
525.07,Spotify,11/4/2023,other
688.89,Hardware Purchase,12/13/2023,Shopping
109.21,Insurance Payment,6/6/2024,other
540.38,Music Instrument Store,4/19/2024,Shopping
458.61,Pet Store,4/18/2024,other
782.66,Pharmacy,5/13/2024,Health
797.08,Mortgage,11/12/2023,Investments
100.96,Property Tax,11/20/2023,Home
237.39,Uber,10/3/2023,Transportation
273.82,Insurance Payment,5/11/2024,other
781.79,Business Service,10/28/2023,Services
998.02,Investment,9/14/2023,Investments
732.82,Mortgage,1/4/2024,Investments
915.02,Bakery,2/3/2024,Food
259.04,Courier Service,10/5/2023,Transportation
789.32,Uber,2/20/2024,Transportation
716.63,Netflix,3/23/2024,Entertainment
159.59,House Cleaning,5/31/2024,Home
512.31,Deli,1/26/2024,other
720.1,Courier Service,5/13/2024,Transportation
709.49,Home Improvement,5/30/2024,Home
227.55,Fitness Equipment,1/5/2024,other
768.21,Bakery,6/29/2024,Food
797.83,Restaurant,11/27/2023,Food
394.45,Florist,8/17/2023,Personal Care
724.86,Education Fee,2/13/2024,Services
483.8,Deli,7/28/2024,other
295.01,Fitness Equipment,12/14/2023,other
206.15,Vet Visit,12/18/2023,Health
624.11,Restaurant,9/28/2023,Food
581.55,Video Game Store,3/25/2024,other
25.52,Charity Donation,10/4/2023,Charity
455.28,Music Instrument Store,5/1/2024,Shopping
490.11,Gas Station,9/21/2023,Transportation
679.33,Amazon,1/1/2024,Shopping
419.94,Gift Shop,12/28/2023,Personal Care
469.07,Business Service,3/25/2024,Services
469.61,Bank Fee,2/9/2024,Other
758.41,Hardware Purchase,8/12/2023,Shopping
231.63,Home Improvement,4/26/2024,Home
293.45,Butcher,2/13/2024,Food
180.51,Vet Visit,7/6/2024,Health
713.47,Coffee Shop,2/6/2024,Food
121.02,Education Fee,8/25/2023,Services
980.73,Netflix,6/13/2024,Entertainment
170.97,Deli,4/22/2024,other
434.3,Business Service,8/21/2023,Services
673.29,Pet Store,12/1/2023,other
359.3,Education Fee,5/19/2024,Services
36.43,Gas Station,11/29/2023,Transportation
449.51,Hardware Purchase,7/11/2024,Shopping
848.49,Software Purchase,4/6/2024,other
843.15,Hotel,2/13/2024,other
150.66,Gardening Service,7/24/2024,Services
174.79,Gift Shop,10/7/2023,Personal Care
391.54,Streaming Service,5/10/2024,Entertainment
250.53,Home Improvement,9/28/2023,Home
423.39,Video Game Store,7/9/2024,other
840.38,Spotify,4/28/2024,other
206.87,Business Service,3/23/2024,Services
982.03,Spotify,7/26/2024,other
904.65,Butcher,6/22/2024,Food
562.13,Spotify,7/21/2024,other
915.41,Concert Ticket,9/5/2023,Entertainment
421.87,Butcher,8/3/2023,Food
375.55,Streaming Service,8/22/2023,Entertainment
358.81,Grocery Store,7/30/2024,Food
204.87,Broker Fee,10/23/2023,other
360.83,Restaurant,7/27/2024,Food
468.76,Parking,7/8/2024,Transportation
81.08,Vet Visit,2/27/2024,Health
563.97,Bank Fee,3/30/2024,Other
898.72,Gardening Service,7/2/2024,Services
596.24,Movie Theater,8/14/2023,Entertainment
474.29,Hair Salon,3/9/2024,Personal Care
854.91,Music Instrument Store,2/19/2024,Shopping
588.71,Charity Donation,6/25/2024,Charity
558.13,Freelance Payment,3/25/2024,Services
119.01,Lottery Ticket,5/25/2024,Other
405.61,Freelance Payment,5/1/2024,Services
965.61,Software Purchase,10/8/2023,other
535.7,Gas Station,11/29/2023,Transportation
503.24,Consulting Fee,3/1/2024,Services
96.87,Airline Ticket,1/27/2024,Transportation
206.18,Bank Fee,2/22/2024,Other
397.9,Software Purchase,9/20/2023,other
476.67,Subscription Box,1/26/2024,Entertainment
891.23,Charity Donation,1/3/2024,Charity
612.57,Public Transport,1/31/2024,Transportation
41.59,Spa,1/25/2024,Personal Care
72.61,Hair Salon,8/14/2023,Personal Care
614.51,Spotify,9/4/2023,other
437.46,Clothing Store,5/15/2024,Shopping
828.75,Education Fee,1/13/2024,Services
333.66,Hotel,12/13/2023,other
223.81,Movie Theater,11/11/2023,Entertainment
128.9,Movie Theater,11/4/2023,Entertainment
28.61,Coffee Shop,10/26/2023,Food
563.41,Streaming Service,8/18/2023,Entertainment
510.15,Gym Membership,9/29/2023,other
614.08,Fitness Equipment,9/10/2023,other
585.28,Electronics Store,4/21/2024,Shopping
13.48,Legal Service,3/13/2024,Services
521.36,Movie Theater,5/5/2024,Entertainment
291.93,Freelance Payment,4/17/2024,Services
748.03,Pharmacy,8/11/2023,Health
680.17,Bakery,12/21/2023,Food
37.86,Gas Station,4/1/2024,Transportation
98.35,Business Service,2/5/2024,Services
970.26,Gift Shop,9/1/2023,Personal Care
68.5,Hardware Purchase,3/14/2024,Shopping
883.93,Public Transport,4/8/2024,Transportation
468.8,Deli,5/20/2024,other
998.13,Butcher,11/4/2023,Food
34.04,Car Rental,10/28/2023,Transportation
618.61,Fast Food,8/24/2023,Food
948.71,Grocery Store,10/28/2023,Food
772.08,Uber,6/9/2024,Transportation
647.9,Freelance Payment,6/1/2024,Services
848.53,Doctor's Visit,11/17/2023,Health
897.34,Book Store,7/29/2024,Shopping
472.38,Bank Fee,7/22/2024,Other
261.41,Deli,1/25/2024,other
689.49,Insurance Payment,12/29/2023,other
545.17,Pet Store,9/1/2023,other
273.05,Music Instrument Store,12/11/2023,Shopping
50.56,Insurance Payment,7/19/2024,other
967.54,Video Game Store,11/7/2023,other
530.24,Home Improvement,2/23/2024,Home
767.1,Taxi,1/2/2024,Transportation
339.54,Accounting Service,2/7/2024,Services
854.19,Fast Food,3/17/2024,Food
975.21,Consulting Fee,5/28/2024,Services
342.74,Business Service,1/28/2024,Services
924.84,Broker Fee,8/12/2023,other
71.79,Bank Fee,2/22/2024,Other
522.16,Home Improvement,4/27/2024,Home
881.97,Education Fee,6/1/2024,Services
510.41,Parking,3/15/2024,Transportation
707.45,Book Store,1/27/2024,Shopping
337.11,House Cleaning,5/1/2024,Home
496.97,Deli,12/3/2023,other
668.52,Fast Food,7/2/2024,Food
34.6,Movie Theater,9/23/2023,Entertainment
616.99,Restaurant,9/7/2023,Food
990.93,Bakery,5/3/2024,Food
495.87,Online Course,5/26/2024,Entertainment
398.83,Hair Salon,1/29/2024,Personal Care
14.24,Airline Ticket,5/8/2024,Transportation
576.72,Home Improvement,3/24/2024,Home
749.0,Hotel,9/20/2023,other
250.37,Gym Membership,11/18/2023,other
451.97,Consulting Fee,3/28/2024,Services
508.78,Bank Fee,10/21/2023,Other
793.78,Software Purchase,7/2/2024,other
92.48,Childcare Service,1/19/2024,Services
354.7,Investment,12/10/2023,Investments
266.96,Restaurant,6/3/2024,Food
385.57,Airline Ticket,2/25/2024,Transportation
616.67,Mortgage,10/13/2023,Investments
646.5,Accounting Service,2/23/2024,Services
223.38,Netflix,12/25/2023,Entertainment
194.17,Fitness Equipment,9/15/2023,other
879.94,Gas Station,7/26/2024,Transportation
759.38,Bakery,10/28/2023,Food
747.47,Mortgage,1/20/2024,Investments
662.02,Music Instrument Store,1/16/2024,Shopping
994.2,Gardening Service,12/15/2023,Services
907.0,Spa,3/11/2024,Personal Care
262.67,Doctor's Visit,3/3/2024,Health
446.38,Pet Store,9/2/2023,other
768.91,Courier Service,4/14/2024,Transportation
34.45,Legal Service,9/13/2023,Services
716.67,Education Fee,5/26/2024,Services
167.24,Vet Visit,5/27/2024,Health
446.59,Accounting Service,2/1/2024,Services
941.54,Music Instrument Store,6/24/2024,Shopping
930.95,Coffee Shop,1/19/2024,Food
732.12,Courier Service,11/21/2023,Transportation
961.26,Parking,11/16/2023,Transportation
736.68,Clothing Store,6/3/2024,Shopping
51.16,Gas Station,1/17/2024,Transportation
633.03,Courier Service,7/29/2024,Transportation
282.33,Electronics Store,4/23/2024,Shopping
934.91,Bank Fee,7/11/2024,Other
469.78,Bank Fee,1/28/2024,Other
583.21,Spa,10/25/2023,Personal Care
191.24,Gas Station,1/26/2024,Transportation
706.07,Coffee Shop,1/14/2024,Food
823.93,Maintenance Fee,3/14/2024,Services
73.88,Childcare Service,8/31/2023,Services
751.21,Uber,1/27/2024,Transportation
510.35,Clothing Store,11/20/2023,Shopping
568.25,Hair Salon,12/16/2023,Personal Care
355.18,Parking,4/5/2024,Transportation
105.98,Clothing Store,7/21/2024,Shopping
991.51,Airline Ticket,1/1/2024,Transportation
484.64,Uber,6/13/2024,Transportation
833.92,Gift Shop,1/16/2024,Personal Care
374.28,Accounting Service,6/15/2024,Services
659.27,Childcare Service,6/7/2024,Services
368.21,Video Game Store,12/10/2023,other
674.48,Lottery Ticket,5/16/2024,Other
426.92,Grocery Store,12/30/2023,Food
280.64,Spotify,10/18/2023,other
840.51,Pet Store,7/3/2024,other
876.37,Uber,11/11/2023,Transportation
552.55,Pharmacy,3/30/2024,Health
450.72,Subscription Box,3/25/2024,Entertainment
940.71,Rent,9/25/2023,other
288.35,Fitness Equipment,12/22/2023,other
218.5,Lottery Ticket,9/22/2023,Other
100.47,Pharmacy,2/29/2024,Health
728.06,Bakery,3/24/2024,Food
959.02,Childcare Service,10/3/2023,Services
856.65,Pharmacy,12/18/2023,Health
862.27,Taxi,2/1/2024,Transportation
12.98,Courier Service,3/28/2024,Transportation
905.03,Coffee Shop,2/6/2024,Food
200.53,Insurance Payment,2/29/2024,other
430.49,Deli,7/12/2024,other
173.7,Online Course,5/9/2024,Entertainment
575.4,Netflix,2/6/2024,Entertainment
946.89,Pharmacy,2/2/2024,Health
452.62,Butcher,7/1/2024,Food
824.25,Butcher,10/2/2023,Food
809.42,Pet Store,4/5/2024,other
361.08,Restaurant,2/15/2024,Food
615.2,Business Service,8/29/2023,Services
634.07,Gift Shop,7/23/2024,Personal Care
868.81,Gift Shop,12/4/2023,Personal Care
70.06,Accounting Service,9/8/2023,Services
22.42,Airline Ticket,3/13/2024,Transportation
901.7,Insurance Payment,12/13/2023,other
270.77,Video Game Store,10/26/2023,other
323.31,Broker Fee,2/15/2024,other
842.32,Music Instrument Store,5/17/2024,Shopping
555.44,Hotel,9/1/2023,other
597.34,Parking,10/3/2023,Transportation
231.07,Doctor's Visit,10/4/2023,Health
328.57,Property Tax,1/12/2024,Home
226.54,Software Purchase,9/19/2023,other
218.31,Pet Store,11/13/2023,other
300.91,Gas Station,4/12/2024,Transportation
79.81,Fitness Equipment,11/25/2023,other
256.85,Gift Shop,5/19/2024,Personal Care
527.51,Business Service,7/23/2024,Services
530.77,Freelance Payment,6/26/2024,Services
266.84,Music Instrument Store,4/13/2024,Shopping
687.53,Butcher,5/6/2024,Food
279.64,Video Game Store,11/3/2023,other
788.7,Coffee Shop,8/17/2023,Food
346.74,Legal Service,9/27/2023,Services
33.06,Home Improvement,2/9/2024,Home
652.17,Consulting Fee,5/11/2024,Services
582.02,Courier Service,3/28/2024,Transportation
561.56,Childcare Service,7/10/2024,Services
112.17,Movie Theater,5/29/2024,Entertainment
220.33,Education Fee,2/19/2024,Services
614.0,Spotify,3/9/2024,other
450.3,Book Store,8/18/2023,Shopping
645.18,Taxi,12/31/2023,Transportation
577.03,Fitness Equipment,10/1/2023,other
322.02,Vet Visit,4/8/2024,Health
834.77,Deli,6/24/2024,other
482.55,Dentist,3/31/2024,Health
125.77,Bakery,9/16/2023,Food
576.44,Taxi,12/14/2023,Transportation
866.02,Uber,3/10/2024,Transportation
868.97,Concert Ticket,12/18/2023,Entertainment
549.51,Movie Theater,12/25/2023,Entertainment
213.59,Utility Bill,7/31/2024,other
330.07,Accounting Service,5/14/2024,Services
991.04,Electronics Store,7/21/2024,Shopping
553.04,House Cleaning,12/26/2023,Home
850.27,Property Tax,6/29/2024,Home
681.04,Hotel,1/27/2024,other
812.83,Home Improvement,10/21/2023,Home
174.95,Book Store,6/16/2024,Shopping
844.92,House Cleaning,12/24/2023,Home
673.35,Book Store,9/22/2023,Shopping
699.61,Rent,3/9/2024,other
61.16,Taxi,8/24/2023,Transportation
545.02,Courier Service,3/21/2024,Transportation
768.6,Hair Salon,8/5/2023,Personal Care
328.4,Pet Store,9/7/2023,other
884.88,Bank Fee,4/29/2024,Other
36.26,Video Game Store,2/6/2024,other
116.19,Education Fee,3/21/2024,Services
509.79,Legal Service,8/6/2023,Services
680.85,Butcher,2/23/2024,Food
22.74,Bakery,5/16/2024,Food
30.99,Airline Ticket,10/13/2023,Transportation
922.04,Dentist,3/18/2024,Health
583.65,Subscription Box,4/16/2024,Entertainment
41.6,Courier Service,5/11/2024,Transportation
694.92,Charity Donation,5/15/2024,Charity
262.43,Parking,12/14/2023,Transportation
87.56,Taxi,2/18/2024,Transportation
805.69,Gift Shop,11/8/2023,Personal Care
214.56,Fast Food,10/13/2023,Food
905.31,Streaming Service,6/17/2024,Entertainment
291.07,Childcare Service,8/6/2023,Services
673.93,Spa,9/4/2023,Personal Care
272.47,Rent,7/12/2024,other
160.09,Business Service,8/20/2023,Services
728.85,Home Improvement,4/1/2024,Home
647.69,Dentist,10/17/2023,Health
707.75,Parking,3/23/2024,Transportation
363.47,Concert Ticket,7/23/2024,Entertainment
884.54,Pet Store,10/23/2023,other
609.96,Public Transport,7/14/2024,Transportation
614.81,Butcher,12/8/2023,Food
421.62,Business Service,4/2/2024,Services
614.67,Courier Service,1/23/2024,Transportation
788.98,Broker Fee,10/23/2023,other
821.45,Childcare Service,10/19/2023,Services
194.21,Video Game Store,4/11/2024,other
737.87,Lottery Ticket,5/12/2024,Other
301.7,Hotel,8/14/2023,other
602.85,Accounting Service,7/22/2024,Services
290.49,Taxi,11/5/2023,Transportation
899.54,Gift Shop,12/11/2023,Personal Care
121.0,Fitness Equipment,8/17/2023,other
726.84,Software Purchase,3/5/2024,other
252.4,Movie Theater,2/13/2024,Entertainment
508.1,Hardware Purchase,7/1/2024,Shopping
7.74,Book Store,12/9/2023,Shopping
225.37,Dentist,12/18/2023,Health
319.2,Grocery Store,11/6/2023,Food
984.24,Uber,3/10/2024,Transportation
936.42,Rent,11/21/2023,other
373.61,Maintenance Fee,4/26/2024,Services
801.01,Dentist,12/28/2023,Health
491.19,Home Improvement,6/9/2024,Home
954.4,Movie Theater,7/27/2024,Entertainment
518.48,Electronics Store,6/5/2024,Shopping
438.26,Pharmacy,4/28/2024,Health
193.32,Airline Ticket,7/25/2024,Transportation
408.27,Courier Service,3/5/2024,Transportation
461.77,Dentist,10/24/2023,Health
268.29,Fitness Equipment,12/17/2023,other
577.89,Netflix,3/23/2024,Entertainment
458.78,Education Fee,11/12/2023,Services
847.09,Car Rental,12/25/2023,Transportation
